date,keyword,value,country
2020-09-25,earthquake,0,CL
2020-09-26,earthquake,0,CL
2020-09-27,earthquake,0,CL
2020-09-28,earthquake,0,CL
2020-09-29,earthquake,0,CL
2020-09-30,earthquake,0,CL
2020-10-01,earthquake,0,CL
2020-10-02,earthquake,0,CL
2020-10-03,earthquake,0,CL
2020-10-04,earthquake,0,CL
2020-10-05,earthquake,0,CL
2020-10-06,earthquake,0,CL
2020-10-07,earthquake,0,CL
2020-10-08,earthquake,0,CL
2020-10-09,earthquake,0,CL
2020-10-10,earthquake,0,CL
2020-10-11,earthquake,0,CL
2020-10-12,earthquake,0,CL
2020-10-13,earthquake,0,CL
2020-10-14,earthquake,0,CL
2020-10-15,earthquake,0,CL
2020-10-16,earthquake,0,CL
2020-10-17,earthquake,0,CL
2020-10-18,earthquake,0,CL
2020-10-19,earthquake,0,CL
2020-10-20,earthquake,0,CL
2020-10-21,earthquake,0,CL
2020-10-22,earthquake,0,CL
2020-10-23,earthquake,0,CL
2020-10-24,earthquake,0,CL
2020-10-25,earthquake,0,CL
2020-10-26,earthquake,0,CL
2020-10-27,earthquake,0,CL
2020-10-28,earthquake,64,CL
2020-10-29,earthquake,0,CL
2020-10-30,earthquake,27,CL
2020-10-31,earthquake,0,CL
2020-11-01,earthquake,0,CL
2020-11-02,earthquake,0,CL
2020-11-03,earthquake,0,CL
2020-11-04,earthquake,0,CL
2020-11-05,earthquake,0,CL
2020-11-06,earthquake,0,CL
2020-11-07,earthquake,0,CL
2020-11-08,earthquake,0,CL
2020-11-09,earthquake,0,CL
2020-11-10,earthquake,0,CL
2020-11-11,earthquake,0,CL
2020-11-12,earthquake,0,CL
2020-11-13,earthquake,0,CL
2020-11-14,earthquake,0,CL
2020-11-15,earthquake,0,CL
2020-11-16,earthquake,0,CL
2020-11-17,earthquake,0,CL
2020-11-18,earthquake,0,CL
2020-11-19,earthquake,0,CL
2020-11-20,earthquake,0,CL
2020-11-21,earthquake,0,CL
2020-11-22,earthquake,100,CL
2020-11-23,earthquake,11,CL
2020-11-24,earthquake,0,CL
2020-11-25,earthquake,0,CL
2020-11-26,earthquake,0,CL
2020-11-27,earthquake,0,CL
2020-11-28,earthquake,0,CL
2020-11-29,earthquake,0,CL
2020-11-30,earthquake,0,CL
2020-12-01,earthquake,0,CL
2020-12-02,earthquake,0,CL
2020-12-03,earthquake,0,CL
2020-12-04,earthquake,0,CL
2020-12-05,earthquake,0,CL
2020-12-06,earthquake,16,CL
2020-12-07,earthquake,0,CL
2020-12-08,earthquake,17,CL
2020-12-09,earthquake,0,CL
2020-12-10,earthquake,0,CL
2020-12-11,earthquake,0,CL
2020-12-12,earthquake,0,CL
2020-12-13,earthquake,0,CL
2020-12-14,earthquake,0,CL
2020-12-15,earthquake,0,CL
2020-12-16,earthquake,0,CL
2020-12-17,earthquake,0,CL
2020-12-18,earthquake,0,CL
2020-12-19,earthquake,0,CL
2020-12-20,earthquake,0,CL
2020-12-21,earthquake,0,CL
2020-12-22,earthquake,0,CL
2020-12-23,earthquake,0,CL
2020-12-24,earthquake,0,CL
2020-12-25,earthquake,0,CL
2020-12-26,earthquake,0,CL
2020-12-27,earthquake,38,CL
2020-12-28,earthquake,12,CL
2020-12-29,earthquake,22,CL
2020-12-30,earthquake,0,CL
2020-12-31,earthquake,0,CL
2020-01-01,flood,0,CL
2020-01-02,flood,0,CL
2020-01-03,flood,0,CL
2020-01-04,flood,0,CL
2020-01-05,flood,0,CL
2020-01-06,flood,0,CL
2020-01-07,flood,0,CL
2020-01-08,flood,0,CL
2020-01-09,flood,0,CL
2020-01-10,flood,0,CL
2020-01-11,flood,0,CL
2020-01-12,flood,0,CL
2020-01-13,flood,0,CL
2020-01-14,flood,0,CL
2020-01-15,flood,0,CL
2020-01-16,flood,0,CL
2020-01-17,flood,0,CL
2020-01-18,flood,0,CL
2020-01-19,flood,0,CL
2020-01-20,flood,0,CL
2020-01-21,flood,16,CL
2020-01-22,flood,0,CL
2020-01-23,flood,0,CL
2020-01-24,flood,0,CL
2020-01-25,flood,0,CL
2020-01-26,flood,0,CL
2020-01-27,flood,0,CL
2020-01-28,flood,0,CL
2020-01-29,flood,0,CL
2020-01-30,flood,0,CL
2020-01-31,flood,0,CL
2020-02-01,flood,0,CL
2020-02-02,flood,0,CL
2020-02-03,flood,0,CL
2020-02-04,flood,0,CL
2020-02-05,flood,0,CL
2020-02-06,flood,0,CL
2020-02-07,flood,0,CL
2020-02-08,flood,0,CL
2020-02-09,flood,0,CL
2020-02-10,flood,0,CL
2020-02-11,flood,0,CL
2020-02-12,flood,0,CL
2020-02-13,flood,0,CL
2020-02-14,flood,0,CL
2020-02-15,flood,0,CL
2020-02-16,flood,0,CL
2020-02-17,flood,0,CL
2020-02-18,flood,0,CL
2020-02-19,flood,0,CL
2020-02-20,flood,0,CL
2020-02-21,flood,0,CL
2020-02-22,flood,0,CL
2020-02-23,flood,0,CL
2020-02-24,flood,0,CL
2020-02-25,flood,0,CL
2020-02-26,flood,0,CL
2020-02-27,flood,0,CL
2020-02-28,flood,0,CL
2020-02-29,flood,0,CL
2020-03-01,flood,0,CL
2020-03-02,flood,0,CL
2020-03-03,flood,0,CL
2020-03-04,flood,0,CL
2020-03-05,flood,0,CL
2020-03-06,flood,0,CL
2020-03-07,flood,0,CL
2020-03-08,flood,0,CL
2020-03-09,flood,0,CL
2020-03-10,flood,0,CL
2020-03-11,flood,0,CL
2020-03-12,flood,0,CL
2020-03-13,flood,0,CL
2020-03-14,flood,0,CL
2020-03-15,flood,0,CL
2020-03-16,flood,0,CL
2020-03-17,flood,0,CL
2020-03-18,flood,0,CL
2020-03-19,flood,0,CL
2020-03-20,flood,0,CL
2020-03-21,flood,0,CL
2020-03-22,flood,0,CL
2020-03-23,flood,0,CL
2020-03-24,flood,0,CL
2020-03-25,flood,0,CL
2020-03-26,flood,0,CL
2020-03-27,flood,0,CL
2020-03-28,flood,0,CL
2020-03-29,flood,0,CL
2020-03-30,flood,0,CL
2020-03-31,flood,0,CL
2020-04-01,flood,0,CL
2020-04-02,flood,0,CL
2020-04-03,flood,0,CL
2020-04-04,flood,0,CL
2020-04-05,flood,0,CL
2020-04-06,flood,0,CL
2020-04-07,flood,0,CL
2020-04-08,flood,0,CL
2020-04-09,flood,0,CL
2020-04-10,flood,0,CL
2020-04-11,flood,0,CL
2020-04-12,flood,17,CL
2020-04-13,flood,0,CL
2020-04-14,flood,0,CL
2020-04-15,flood,0,CL
2020-04-16,flood,0,CL
2020-04-17,flood,0,CL
2020-04-18,flood,0,CL
2020-04-19,flood,0,CL
2020-04-20,flood,0,CL
2020-04-21,flood,0,CL
2020-04-22,flood,0,CL
2020-04-23,flood,0,CL
2020-04-24,flood,0,CL
2020-04-25,flood,0,CL
2020-04-26,flood,0,CL
2020-04-27,flood,0,CL
2020-04-28,flood,0,CL
2020-04-29,flood,0,CL
2020-04-30,flood,0,CL
2020-05-01,flood,0,CL
2020-05-02,flood,0,CL
2020-05-03,flood,0,CL
2020-05-04,flood,0,CL
2020-05-05,flood,0,CL
2020-05-06,flood,0,CL
2020-05-07,flood,0,CL
2020-05-08,flood,0,CL
2020-05-09,flood,0,CL
2020-05-10,flood,0,CL
2020-05-11,flood,0,CL
2020-05-12,flood,0,CL
2020-05-13,flood,0,CL
2020-05-14,flood,0,CL
2020-05-15,flood,0,CL
2020-05-16,flood,0,CL
2020-05-17,flood,0,CL
2020-05-18,flood,0,CL
2020-05-19,flood,0,CL
2020-05-20,flood,0,CL
2020-05-21,flood,0,CL
2020-05-22,flood,0,CL
2020-05-23,flood,0,CL
2020-05-24,flood,0,CL
2020-05-25,flood,0,CL
2020-05-26,flood,0,CL
2020-05-27,flood,0,CL
2020-05-28,flood,0,CL
2020-05-29,flood,0,CL
2020-05-30,flood,0,CL
2020-05-31,flood,18,CL
2020-06-01,flood,0,CL
2020-06-02,flood,0,CL
2020-06-03,flood,0,CL
2020-06-04,flood,0,CL
2020-06-05,flood,0,CL
2020-06-06,flood,0,CL
2020-06-07,flood,0,CL
2020-06-08,flood,0,CL
2020-06-09,flood,0,CL
2020-06-10,flood,0,CL
2020-06-11,flood,0,CL
2020-06-12,flood,0,CL
2020-06-13,flood,0,CL
2020-06-14,flood,0,CL
2020-06-15,flood,0,CL
2020-06-16,flood,0,CL
2020-06-17,flood,0,CL
2020-06-18,flood,11,CL
2020-06-19,flood,0,CL
2020-06-20,flood,0,CL
2020-06-21,flood,0,CL
2020-06-22,flood,0,CL
2020-06-23,flood,0,CL
2020-06-24,flood,0,CL
2020-06-25,flood,0,CL
2020-06-26,flood,0,CL
2020-06-27,flood,0,CL
2020-06-28,flood,0,CL
2020-06-29,flood,0,CL
2020-06-30,flood,0,CL
2020-07-01,flood,0,CL
2020-07-02,flood,0,CL
2020-07-03,flood,0,CL
2020-07-04,flood,0,CL
2020-07-05,flood,0,CL
2020-07-06,flood,0,CL
2020-07-07,flood,0,CL
2020-07-08,flood,0,CL
2020-07-09,flood,0,CL
2020-07-10,flood,0,CL
2020-07-11,flood,0,CL
2020-07-12,flood,0,CL
2020-07-13,flood,0,CL
2020-07-14,flood,0,CL
2020-07-15,flood,0,CL
2020-07-16,flood,0,CL
2020-07-17,flood,0,CL
2020-07-18,flood,0,CL
2020-07-19,flood,0,CL
2020-07-20,flood,0,CL
2020-07-21,flood,0,CL
2020-07-22,flood,0,CL
2020-07-23,flood,0,CL
2020-07-24,flood,0,CL
2020-07-25,flood,0,CL
2020-07-26,flood,0,CL
2020-07-27,flood,0,CL
2020-07-28,flood,0,CL
