event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
CHI8752,2022-05-02,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Arauco,Curanilahue,-37.4762,-73.3412,2,Subnational-National,0
CHI8754,2022-05-02,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Biobio,Los Angeles,-37.4697,-72.3537,2,Subnational-National,0
CHI8757,2022-05-02,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Talcahuano,-36.7249,-73.1168,1,Subnational,0
CHI8814,2022-05-02,1,Riots,Violent demonstration,Rioters (Chile),Mapuche Indigenous Group (Chile),,,Chile,Araucania,Malleco,Traiguen,-38.2496,-72.6703,2,National,0
CHI8756,2022-05-02,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Hualpen,-36.7891,-73.1017,1,Subnational,0
CHI8697,2022-05-02,1,Strategic developments,Looting/property destruction,WAM: Weichan Auka Mapu,,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Cautin,Teodoro Schmidt,-38.9944,-73.0893,2,National,0
CHI8704,2022-05-02,1,Riots,Mob violence,Rioters (Chile),Vigilante Group (Chile),Civilians (Chile),,Chile,Los Lagos,Osorno,Rio Negro,-40.7958,-73.2177,1,National,0
CHI8815,2022-05-02,2,Riots,Violent demonstration,Rioters (Chile),Students (Chile),,,Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8811,2022-04-30,1,Riots,Violent demonstration,Rioters (Chile),,,,Chile,Los Rios,Valdivia,Los Lagos,-39.8618,-72.8168,1,Subnational-National,0
CHI8685,2022-04-30,1,Violence against civilians,Attack,Unidentified Armed Group (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Cautin,La Paz,-39.4099,-72.7105,2,Subnational,0
CHI8672,2022-04-29,1,Battles,Armed clash,Unidentified Armed Group (Chile),,Police Forces of Chile (2022-),,Chile,Araucania,Cautin,Carahue,-38.709,-73.167,2,Subnational-National,0
CHI8696,2022-04-29,1,Strategic developments,Looting/property destruction,Mapuche Indigenous Militia (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Biobio,Concepcion,San Pedro de la Paz,-36.8306,-73.1164,1,Subnational,0
CHI8674,2022-04-29,1,Battles,Armed clash,Unidentified Armed Group (Chile),,Police Forces of Chile (2022-),,Chile,Araucania,Cautin,Plon Maquehue,-38.837,-72.712,2,Subnational,0
CHI8805,2022-04-27,1,Riots,Violent demonstration,Rioters (Chile),Labor Group (Chile),,,Chile,Magallanes,Magallanes,Punta Arenas,-53.1548,-70.9113,1,National,0
CHI8694,2022-04-27,1,Strategic developments,Looting/property destruction,Mapuche Indigenous Militia (Chile),,Civilians (Chile),Farmers (Chile),Chile,Araucania,Malleco,Victoria,-38.2341,-72.3439,2,National,0
CHI8724,2022-04-27,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Antofagasta,Antofagasta,Mejillones,-23.0987,-70.446,2,National,0
CHI8725,2022-04-27,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Biobio,Los Angeles,-37.4697,-72.3537,2,Subnational,0
CHI8732,2022-04-27,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Tarapaca,Tamarugal,Pozo Almonte,-20.2558,-69.7863,2,National,0
CHI8731,2022-04-27,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Tarapaca,Iquique,Alto Hospicio,-20.2508,-70.1097,2,National,0
CHI8727,2022-04-27,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Coquimbo,Elqui,Panul,-30.0137,-71.3954,1,National,0
