event_id_cnty,event_date,event_type,sub_event_type,country,admin1,admin2,latitude,longitude,fatalities
CHI8743,2022-04-29,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8820,2022-05-04,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8822,2022-05-05,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8823,2022-05-06,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8827,2022-05-07,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8914,2022-05-20,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8916,2022-05-21,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8947,2022-05-30,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8951,2022-05-31,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8992,2022-06-10,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9002,2022-06-11,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9086,2022-07-08,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-38.0334,-73.0715,0
CHI9092,2022-06-22,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9102,2022-07-05,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9110,2022-07-06,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9135,2022-07-11,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9163,2022-07-18,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9168,2022-07-19,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9214,2022-08-01,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9221,2022-08-02,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9263,2022-08-09,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9272,2022-08-11,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9295,2022-08-16,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9337,2022-08-24,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9354,2022-08-27,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9379,2022-09-02,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-38.0334,-73.0715,0
CHI9403,2022-09-09,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9413,2022-09-12,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9446,2022-09-27,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9456,2022-09-28,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9513,2022-10-18,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9531,2022-10-18,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9589,2022-11-03,Riots,Violent demonstration,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9621,2022-11-09,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9638,2022-11-13,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-38.0334,-73.0715,0
CHI9657,2022-11-12,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9658,2022-11-13,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9659,2022-11-13,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9709,2022-11-19,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9810,2022-12-27,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9830,2022-12-15,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9833,2022-12-31,Riots,Violent demonstration,Chile,Los Lagos,Llanquihue,-41.7915,-73.4603,0
CHI9842,2022-12-31,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9997,2022-10-24,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9999,2022-10-26,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI9308,2022-08-18,Strategic developments,Looting/property destruction,Chile,Los Rios,Ranco,-40.2931,-73.0816,0
CHI8244,2022-01-31,Violence against civilians,Attack,Chile,Biobio,Arauco,-38.3418,-73.4915,1
CHI8325,2022-03-02,Violence against civilians,Attack,Chile,Araucania,Cautin,-38.6783,-72.5039,0
CHI8340,2022-03-11,Violence against civilians,Attack,Chile,Araucania,Cautin,-38.6783,-72.5039,0
CHI8474,2022-01-28,Violence against civilians,Attack,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI8513,2022-03-28,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8522,2022-03-29,Protests,Peaceful protest,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8554,2022-04-07,Battles,Armed clash,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8634,2022-04-20,Battles,Armed clash,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8636,2022-04-15,Violence against civilians,Attack,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI8642,2022-04-18,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.1915,-73.4247,0
CHI8646,2022-04-20,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI8675,2022-05-02,Battles,Armed clash,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8680,2022-04-26,Violence against civilians,Attack,Chile,Araucania,Cautin,-38.4888,-73.4847,0
CHI8690,2022-04-25,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8693,2022-04-26,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8852,2022-05-12,Battles,Armed clash,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8873,2022-05-16,Battles,Armed clash,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI8888,2022-05-18,Riots,Violent demonstration,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8904,2022-05-24,Battles,Armed clash,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI8969,2022-06-09,Violence against civilians,Attack,Chile,Biobio,Arauco,-38.1915,-73.4247,0
CHI8976,2022-06-02,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.6783,-72.5039,0
CHI9074,2022-06-29,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI9078,2022-07-03,Battles,Armed clash,Chile,Araucania,Cautin,-38.6783,-72.5039,0
CHI9080,2022-07-05,Protests,Excessive force against protesters,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI9122,2022-07-07,Riots,Violent demonstration,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI9159,2022-07-22,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI9394,2022-09-06,Explosions/Remote violence,Remote explosive/landmine/IED,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI9415,2022-09-10,Strategic developments,Looting/property destruction,Chile,Araucania,Cautin,-38.7568,-72.3779,0
CHI9499,2022-10-14,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI9504,2022-10-19,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.1915,-73.4247,0
CHI9675,2022-11-21,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.2502,-73.4864,0
CHI9676,2022-11-21,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI9678,2022-11-23,Battles,Armed clash,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI9813,2022-12-29,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-38.3418,-73.4915,0
CHI10051,2022-10-21,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8277,2022-02-11,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8463,2022-01-25,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8606,2022-04-11,Riots,Violent demonstration,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8619,2022-04-13,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8710,2022-04-24,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8714,2022-04-25,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8718,2022-04-26,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8842,2022-05-11,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI9007,2022-06-13,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI9040,2022-06-22,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI9099,2022-07-04,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI9451,2022-09-30,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI9612,2022-11-06,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI9664,2022-11-21,Protests,Peaceful protest,Chile,Antofagasta,El Loa,-22.4567,-68.9237,0
CHI8716,2022-04-25,Protests,Peaceful protest,Chile,O'Higgins,Cachapoal,-34.1708,-70.7444,0
CHI9010,2022-06-13,Protests,Peaceful protest,Chile,O'Higgins,Cachapoal,-34.1708,-70.7444,0
CHI9047,2022-06-22,Protests,Protest with intervention,Chile,O'Higgins,Cachapoal,-34.1708,-70.7444,0
CHI8529,2022-03-29,Riots,Violent demonstration,Chile,Metropolitana,Maipo,-33.5922,-70.6996,0
CHI8590,2022-04-04,Riots,Violent demonstration,Chile,Biobio,Arauco,-37.6096,-73.6488,0
CHI8930,2022-05-24,Riots,Violent demonstration,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI9529,2022-10-18,Riots,Violent demonstration,Chile,Biobio,Concepcion,-36.827,-73.0498,0
CHI9530,2022-10-18,Riots,Violent demonstration,Chile,Coquimbo,Elqui,-29.9045,-71.2489,0
CHI9623,2022-11-10,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.4642,-72.3863,0
CHI8342,2022-03-11,Strategic developments,Other,Chile,Metropolitana,Santiago,-33.4569,-70.6483,0
CHI8803,2022-04-26,Riots,Violent demonstration,Chile,Maule,Curico,-34.9856,-71.2398,0
CHI9711,2022-11-24,Protests,Peaceful protest,Chile,Maule,Curico,-34.9856,-71.2398,0
CHI9712,2022-11-24,Protests,Peaceful protest,Chile,Maule,Curico,-34.8662,-71.1598,0
CHI9713,2022-11-25,Protests,Peaceful protest,Chile,Maule,Curico,-34.9856,-71.2398,0
